# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      4      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      2      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    3     43     30     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     43     30     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     30     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     43     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      4      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     43     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      4      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
